Body Frame,Type of Hair,Color of Hair,Skin,Complexion,Body Weight,Nails,Size and Color of the Teeth,Pace of Performing Work,Mental Activity,Memory,Sleep Pattern,Weather Conditions,Reaction under Adverse Situations,Mood,Eating Habit,Hunger,Body Temperature,Joints,Nature,Body Energy,Quality of Voice,Dreams,Social Relations,Body Odor,Dosha
Well Built,Normal,Grey,"Moist,Greasy",Pinkish,Normal,Redish,"Irregular,Blackish",Medium,Restless,Short term,Less,Dislike Heat,Anxiety,Changes Slowly,Irregular Chewing,Sudden and Sharp,More than Normal,Healthy,"Egoistic,Fearless",Medium,Fast,Sky,Ambivert,Mild,Pitta
Well Built,Dry,Brown,"Dry,Rough",Pinkish,Overweight,Pinkish,"Medium,Yellowish",Medium,Stable,Short term,Sleepy,Dislike Moist,Anger,Changes Quickly,Irregular Chewing,Irregular,Normal,Heavy,"Jealous,Fearful",High,Fast,Fire,Ambivert,Mild,Kapha
Thin and Lean,Greasy,Brown,"Moist,Greasy",Glowing,Underweight,Blackish,"Irregular,Blackish",Medium,Stable,Long Term,Moderate,Dislike Heat,Calm,Changes Quickly,Improper Chewing,Sudden and Sharp,Normal,Weak,"Jealous,Fearful",Medium,Fast,Fire,Ambivert,Negligible,Pitta
Thin and Lean,Normal,Grey,"Moist,Greasy",Dark,Underweight,Pinkish,"Large,White",Medium,Aggressive,Good Memory,Moderate,Dislike Cold,Anger,Constant,Improper Chewing,Sudden and Sharp,Normal,Healthy,"Forgiving,Grateful",Medium,Fast,Sky,Introvert,Strong,Pitta
Thin and Lean,Dry,Grey,"Moist,Greasy",Dark,Overweight,Redish,"Irregular,Blackish",Slow,Aggressive,Short term,Less,Dislike Moist,Anxiety,Changes Slowly,Improper Chewing,Irregular,More than Normal,Healthy,"Jealous,Fearful",Low,Deep,Fire,Ambivert,Mild,Vata
Medium,Dry,Brown,"Moist,Greasy",Pinkish,Normal,Pinkish,"Irregular,Blackish",Slow,Stable,Good Memory,Sleepy,Dislike Cold,Calm,Changes Slowly,Proper Chewing,Skips Meal,More than Normal,Weak,"Egoistic,Fearless",Medium,Deep,Water,Introvert,Mild,Kapha
Medium,Dry,Black,"Moist,Greasy",Pinkish,Underweight,Pinkish,"Irregular,Blackish",Medium,Restless,Good Memory,Less,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Skips Meal,More than Normal,Weak,"Egoistic,Fearless",Low,Deep,Sky,Ambivert,Negligible,Pitta
Thin and Lean,Normal,Grey,"Dry,Rough",Glowing,Normal,Pinkish,"Irregular,Blackish",Slow,Restless,Good Memory,Moderate,Dislike Heat,Anger,Constant,Irregular Chewing,Sudden and Sharp,Normal,Heavy,"Jealous,Fearful",Low,Fast,Water,Ambivert,Mild,Kapha
Well Built,Dry,Brown,"Moist,Greasy",Pinkish,Normal,Blackish,"Medium,Yellowish",Slow,Stable,Good Memory,Less,Dislike Cold,Anger,Changes Slowly,Irregular Chewing,Irregular,Less than Normal,Healthy,"Jealous,Fearful",Low,Fast,Water,Ambivert,Negligible,Kapha
Well Built,Greasy,Black,"Dry,Rough",Pinkish,Overweight,Pinkish,"Medium,Yellowish",Medium,Aggressive,Long Term,Moderate,Dislike Heat,Anger,Changes Slowly,Proper Chewing,Irregular,Less than Normal,Healthy,"Forgiving,Grateful",Low,Rough,Fire,Introvert,Mild,Vata
Well Built,Normal,Brown,"Moist,Greasy",Pinkish,Underweight,Blackish,"Large,White",Medium,Restless,Short term,Less,Dislike Cold,Anger,Constant,Improper Chewing,Skips Meal,Less than Normal,Healthy,"Forgiving,Grateful",Low,Deep,Fire,Introvert,Strong,Kapha
Well Built,Dry,Brown,"Moist,Greasy",Dark,Overweight,Blackish,"Medium,Yellowish",Fast,Aggressive,Short term,Sleepy,Dislike Heat,Anxiety,Changes Quickly,Proper Chewing,Irregular,Less than Normal,Heavy,"Forgiving,Grateful",Low,Deep,Sky,Extrovert,Mild,Vata
Thin and Lean,Normal,Brown,"Dry,Rough",Pinkish,Underweight,Blackish,"Medium,Yellowish",Fast,Stable,Short term,Less,Dislike Cold,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Egoistic,Fearless",High,Fast,Sky,Introvert,Negligible,Kapha
Thin and Lean,Normal,Black,"Moist,Greasy",Glowing,Underweight,Pinkish,"Irregular,Blackish",Slow,Restless,Good Memory,Sleepy,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Irregular,More than Normal,Healthy,"Egoistic,Fearless",High,Rough,Fire,Introvert,Strong,Kapha
Thin and Lean,Greasy,Grey,"Moist,Greasy",Pinkish,Overweight,Blackish,"Large,White",Fast,Restless,Long Term,Less,Dislike Cold,Anger,Changes Slowly,Proper Chewing,Irregular,Normal,Weak,"Jealous,Fearful",Medium,Fast,Fire,Introvert,Mild,Pitta
Thin and Lean,Normal,Grey,"Soft,Sweating",Glowing,Underweight,Pinkish,"Irregular,Blackish",Fast,Stable,Good Memory,Moderate,Dislike Heat,Anger,Changes Slowly,Improper Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",High,Fast,Water,Ambivert,Mild,Pitta
Thin and Lean,Greasy,Grey,"Moist,Greasy",Pinkish,Normal,Blackish,"Irregular,Blackish",Fast,Aggressive,Long Term,Less,Dislike Heat,Anxiety,Changes Quickly,Irregular Chewing,Irregular,Normal,Healthy,"Forgiving,Grateful",Low,Fast,Water,Ambivert,Mild,Pitta
Medium,Dry,Black,"Moist,Greasy",Glowing,Underweight,Blackish,"Medium,Yellowish",Fast,Aggressive,Good Memory,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Improper Chewing,Sudden and Sharp,Less than Normal,Weak,"Forgiving,Grateful",High,Rough,Water,Ambivert,Strong,Kapha
Thin and Lean,Normal,Brown,"Dry,Rough",Dark,Normal,Blackish,"Irregular,Blackish",Fast,Aggressive,Good Memory,Sleepy,Dislike Cold,Anxiety,Constant,Improper Chewing,Sudden and Sharp,Normal,Heavy,"Jealous,Fearful",Medium,Fast,Water,Introvert,Mild,Pitta
Medium,Dry,Black,"Soft,Sweating",Pinkish,Overweight,Blackish,"Medium,Yellowish",Slow,Stable,Good Memory,Sleepy,Dislike Moist,Anger,Constant,Improper Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",Medium,Deep,Water,Ambivert,Mild,Kapha
Medium,Dry,Black,"Moist,Greasy",Dark,Normal,Blackish,"Large,White",Slow,Aggressive,Long Term,Moderate,Dislike Cold,Anger,Constant,Irregular Chewing,Skips Meal,Normal,Healthy,"Jealous,Fearful",Medium,Fast,Water,Introvert,Mild,Pitta
Medium,Normal,Brown,"Moist,Greasy",Dark,Underweight,Pinkish,"Irregular,Blackish",Fast,Restless,Long Term,Moderate,Dislike Moist,Anger,Changes Slowly,Proper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Sky,Ambivert,Negligible,Pitta
Well Built,Normal,Grey,"Moist,Greasy",Glowing,Overweight,Blackish,"Large,White",Medium,Aggressive,Short term,Less,Dislike Heat,Calm,Changes Slowly,Proper Chewing,Skips Meal,Normal,Healthy,"Forgiving,Grateful",Low,Deep,Water,Ambivert,Mild,Pitta
Medium,Greasy,Grey,"Moist,Greasy",Dark,Overweight,Redish,"Irregular,Blackish",Medium,Restless,Good Memory,Less,Dislike Moist,Anger,Constant,Irregular Chewing,Irregular,Normal,Heavy,"Jealous,Fearful",Medium,Rough,Fire,Ambivert,Mild,Pitta
Medium,Dry,Grey,"Moist,Greasy",Pinkish,Normal,Pinkish,"Large,White",Fast,Stable,Short term,Sleepy,Dislike Cold,Calm,Constant,Irregular Chewing,Sudden and Sharp,More than Normal,Healthy,"Forgiving,Grateful",High,Rough,Sky,Ambivert,Strong,Kapha
Medium,Normal,Grey,"Moist,Greasy",Glowing,Overweight,Pinkish,"Medium,Yellowish",Slow,Aggressive,Short term,Sleepy,Dislike Heat,Anger,Constant,Irregular Chewing,Sudden and Sharp,Less than Normal,Weak,"Egoistic,Fearless",Low,Deep,Fire,Ambivert,Mild,Kapha
Medium,Dry,Brown,"Soft,Sweating",Glowing,Normal,Redish,"Medium,Yellowish",Fast,Stable,Long Term,Moderate,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Sudden and Sharp,More than Normal,Weak,"Forgiving,Grateful",High,Rough,Water,Introvert,Mild,Kapha
Medium,Greasy,Black,"Soft,Sweating",Dark,Underweight,Blackish,"Large,White",Medium,Restless,Good Memory,Moderate,Dislike Moist,Anger,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Forgiving,Grateful",Low,Fast,Sky,Extrovert,Negligible,Pitta
Medium,Normal,Grey,"Dry,Rough",Pinkish,Normal,Blackish,"Large,White",Slow,Restless,Long Term,Moderate,Dislike Heat,Calm,Changes Slowly,Improper Chewing,Skips Meal,Normal,Heavy,"Forgiving,Grateful",Medium,Deep,Fire,Ambivert,Negligible,Kapha
Thin and Lean,Greasy,Brown,"Dry,Rough",Dark,Normal,Blackish,"Irregular,Blackish",Fast,Restless,Long Term,Sleepy,Dislike Cold,Calm,Changes Quickly,Proper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Jealous,Fearful",Medium,Fast,Fire,Introvert,Strong,Pitta
Well Built,Greasy,Black,"Dry,Rough",Glowing,Overweight,Pinkish,"Large,White",Medium,Restless,Short term,Less,Dislike Cold,Anger,Changes Quickly,Irregular Chewing,Sudden and Sharp,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Sky,Extrovert,Negligible,Pitta
Medium,Normal,Brown,"Dry,Rough",Pinkish,Overweight,Redish,"Medium,Yellowish",Fast,Stable,Short term,Less,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Skips Meal,More than Normal,Weak,"Egoistic,Fearless",High,Rough,Sky,Extrovert,Negligible,Pitta
Well Built,Normal,Black,"Soft,Sweating",Dark,Normal,Redish,"Large,White",Fast,Restless,Good Memory,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Proper Chewing,Sudden and Sharp,More than Normal,Heavy,"Egoistic,Fearless",High,Deep,Water,Introvert,Negligible,Kapha
Well Built,Dry,Grey,"Dry,Rough",Dark,Underweight,Blackish,"Large,White",Fast,Restless,Good Memory,Sleepy,Dislike Heat,Anger,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Forgiving,Grateful",High,Rough,Fire,Extrovert,Strong,Kapha
Well Built,Greasy,Brown,"Dry,Rough",Glowing,Underweight,Blackish,"Medium,Yellowish",Medium,Aggressive,Short term,Less,Dislike Cold,Anxiety,Constant,Irregular Chewing,Sudden and Sharp,More than Normal,Heavy,"Forgiving,Grateful",High,Deep,Water,Ambivert,Mild,Kapha
Medium,Normal,Grey,"Soft,Sweating",Glowing,Normal,Blackish,"Medium,Yellowish",Slow,Aggressive,Long Term,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Improper Chewing,Irregular,Normal,Weak,"Forgiving,Grateful",Low,Fast,Sky,Introvert,Strong,Kapha
Thin and Lean,Dry,Grey,"Moist,Greasy",Dark,Overweight,Redish,"Irregular,Blackish",Medium,Aggressive,Good Memory,Less,Dislike Cold,Anger,Constant,Proper Chewing,Irregular,Less than Normal,Healthy,"Forgiving,Grateful",Medium,Fast,Fire,Ambivert,Negligible,Pitta
Thin and Lean,Dry,Black,"Moist,Greasy",Dark,Normal,Blackish,"Large,White",Medium,Restless,Short term,Less,Dislike Heat,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Egoistic,Fearless",High,Fast,Sky,Extrovert,Strong,Pitta
Well Built,Greasy,Brown,"Soft,Sweating",Pinkish,Normal,Redish,"Medium,Yellowish",Medium,Aggressive,Short term,Less,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Irregular,More than Normal,Heavy,"Egoistic,Fearless",Medium,Deep,Fire,Introvert,Strong,Kapha
Medium,Greasy,Brown,"Moist,Greasy",Pinkish,Overweight,Pinkish,"Irregular,Blackish",Slow,Stable,Long Term,Sleepy,Dislike Heat,Anxiety,Constant,Improper Chewing,Skips Meal,Less than Normal,Weak,"Jealous,Fearful",Low,Fast,Sky,Introvert,Strong,Kapha
Medium,Dry,Black,"Moist,Greasy",Pinkish,Normal,Pinkish,"Large,White",Fast,Stable,Good Memory,Less,Dislike Heat,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,More than Normal,Heavy,"Forgiving,Grateful",High,Deep,Fire,Extrovert,Strong,Kapha
Thin and Lean,Greasy,Black,"Moist,Greasy",Pinkish,Normal,Blackish,"Medium,Yellowish",Slow,Stable,Long Term,Less,Dislike Moist,Anger,Changes Slowly,Proper Chewing,Irregular,Normal,Heavy,"Egoistic,Fearless",Low,Rough,Fire,Ambivert,Strong,Kapha
Thin and Lean,Dry,Brown,"Dry,Rough",Pinkish,Normal,Redish,"Irregular,Blackish",Fast,Aggressive,Good Memory,Moderate,Dislike Cold,Anger,Constant,Improper Chewing,Skips Meal,Less than Normal,Weak,"Forgiving,Grateful",Low,Fast,Sky,Ambivert,Mild,Pitta
Medium,Greasy,Grey,"Dry,Rough",Glowing,Underweight,Pinkish,"Medium,Yellowish",Slow,Restless,Good Memory,Less,Dislike Moist,Anger,Constant,Proper Chewing,Irregular,Less than Normal,Weak,"Forgiving,Grateful",Medium,Fast,Fire,Extrovert,Negligible,Pitta
Medium,Dry,Black,"Soft,Sweating",Dark,Normal,Redish,"Irregular,Blackish",Medium,Restless,Long Term,Less,Dislike Heat,Calm,Changes Quickly,Improper Chewing,Irregular,Normal,Heavy,"Forgiving,Grateful",Low,Rough,Fire,Introvert,Mild,Vata
Thin and Lean,Greasy,Grey,"Dry,Rough",Dark,Overweight,Blackish,"Irregular,Blackish",Fast,Stable,Short term,Sleepy,Dislike Moist,Anger,Constant,Improper Chewing,Irregular,Less than Normal,Healthy,"Egoistic,Fearless",Medium,Deep,Fire,Ambivert,Mild,Pitta
Medium,Dry,Grey,"Soft,Sweating",Pinkish,Underweight,Redish,"Large,White",Medium,Aggressive,Good Memory,Less,Dislike Heat,Calm,Changes Slowly,Improper Chewing,Sudden and Sharp,Normal,Weak,"Jealous,Fearful",Medium,Rough,Water,Ambivert,Mild,Pitta
Medium,Greasy,Grey,"Soft,Sweating",Glowing,Overweight,Pinkish,"Large,White",Fast,Aggressive,Good Memory,Moderate,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Jealous,Fearful",Medium,Deep,Sky,Introvert,Negligible,Pitta
Thin and Lean,Greasy,Grey,"Soft,Sweating",Glowing,Overweight,Pinkish,"Irregular,Blackish",Slow,Aggressive,Good Memory,Moderate,Dislike Moist,Anxiety,Changes Slowly,Irregular Chewing,Skips Meal,Normal,Weak,"Egoistic,Fearless",High,Rough,Sky,Extrovert,Mild,Kapha
Medium,Normal,Grey,"Soft,Sweating",Glowing,Overweight,Redish,"Large,White",Fast,Stable,Short term,Moderate,Dislike Cold,Calm,Changes Quickly,Proper Chewing,Sudden and Sharp,More than Normal,Heavy,"Jealous,Fearful",Medium,Deep,Water,Introvert,Negligible,Pitta
Thin and Lean,Normal,Black,"Soft,Sweating",Glowing,Normal,Blackish,"Medium,Yellowish",Fast,Stable,Good Memory,Sleepy,Dislike Heat,Calm,Changes Slowly,Proper Chewing,Skips Meal,More than Normal,Heavy,"Jealous,Fearful",High,Deep,Sky,Extrovert,Strong,Kapha
Well Built,Normal,Brown,"Dry,Rough",Glowing,Overweight,Redish,"Medium,Yellowish",Slow,Stable,Good Memory,Sleepy,Dislike Cold,Calm,Constant,Improper Chewing,Sudden and Sharp,Less than Normal,Weak,"Forgiving,Grateful",Medium,Rough,Water,Introvert,Negligible,Kapha
Medium,Dry,Black,"Moist,Greasy",Glowing,Normal,Pinkish,"Large,White",Slow,Aggressive,Long Term,Moderate,Dislike Moist,Calm,Constant,Irregular Chewing,Skips Meal,Normal,Healthy,"Forgiving,Grateful",Medium,Deep,Fire,Ambivert,Mild,Pitta
Well Built,Greasy,Brown,"Dry,Rough",Dark,Normal,Blackish,"Large,White",Fast,Stable,Long Term,Less,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Sudden and Sharp,Normal,Weak,"Jealous,Fearful",Low,Fast,Water,Introvert,Negligible,Pitta
Thin and Lean,Greasy,Black,"Soft,Sweating",Dark,Underweight,Pinkish,"Medium,Yellowish",Slow,Aggressive,Short term,Moderate,Dislike Heat,Anxiety,Constant,Irregular Chewing,Skips Meal,More than Normal,Healthy,"Forgiving,Grateful",High,Rough,Sky,Extrovert,Mild,Kapha
Medium,Dry,Brown,"Dry,Rough",Pinkish,Normal,Redish,"Medium,Yellowish",Medium,Aggressive,Good Memory,Moderate,Dislike Cold,Anxiety,Changes Quickly,Proper Chewing,Sudden and Sharp,Less than Normal,Weak,"Jealous,Fearful",Medium,Fast,Fire,Introvert,Strong,Pitta
Medium,Dry,Black,"Moist,Greasy",Dark,Normal,Pinkish,"Medium,Yellowish",Slow,Restless,Short term,Moderate,Dislike Heat,Anger,Changes Quickly,Irregular Chewing,Skips Meal,Less than Normal,Healthy,"Jealous,Fearful",High,Fast,Sky,Introvert,Strong,Kapha
Thin and Lean,Dry,Brown,"Dry,Rough",Dark,Overweight,Pinkish,"Irregular,Blackish",Slow,Restless,Short term,Less,Dislike Heat,Anger,Constant,Proper Chewing,Skips Meal,Normal,Heavy,"Forgiving,Grateful",Medium,Deep,Water,Ambivert,Strong,Kapha
Medium,Normal,Grey,"Dry,Rough",Glowing,Normal,Pinkish,"Medium,Yellowish",Medium,Aggressive,Good Memory,Sleepy,Dislike Cold,Calm,Constant,Improper Chewing,Sudden and Sharp,Normal,Heavy,"Egoistic,Fearless",Low,Fast,Water,Ambivert,Mild,Pitta
Medium,Dry,Black,"Moist,Greasy",Pinkish,Underweight,Redish,"Irregular,Blackish",Slow,Restless,Short term,Moderate,Dislike Cold,Anger,Constant,Improper Chewing,Skips Meal,Normal,Weak,"Forgiving,Grateful",Low,Deep,Sky,Extrovert,Mild,Kapha
Thin and Lean,Greasy,Black,"Soft,Sweating",Dark,Normal,Redish,"Irregular,Blackish",Slow,Stable,Short term,Sleepy,Dislike Moist,Anxiety,Changes Slowly,Improper Chewing,Irregular,Normal,Heavy,"Jealous,Fearful",Low,Rough,Sky,Ambivert,Strong,Kapha
Thin and Lean,Dry,Brown,"Dry,Rough",Dark,Overweight,Redish,"Irregular,Blackish",Fast,Stable,Short term,Moderate,Dislike Cold,Anxiety,Constant,Irregular Chewing,Sudden and Sharp,More than Normal,Weak,"Jealous,Fearful",Medium,Rough,Sky,Introvert,Mild,Kapha
Thin and Lean,Greasy,Brown,"Dry,Rough",Pinkish,Normal,Pinkish,"Medium,Yellowish",Fast,Stable,Long Term,Sleepy,Dislike Heat,Calm,Constant,Proper Chewing,Skips Meal,Normal,Healthy,"Egoistic,Fearless",Medium,Deep,Sky,Extrovert,Strong,Kapha
Medium,Normal,Brown,"Dry,Rough",Glowing,Overweight,Blackish,"Large,White",Fast,Restless,Short term,Moderate,Dislike Cold,Anxiety,Changes Slowly,Proper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Forgiving,Grateful",Medium,Fast,Fire,Ambivert,Negligible,Pitta
Medium,Greasy,Brown,"Soft,Sweating",Dark,Overweight,Pinkish,"Medium,Yellowish",Medium,Stable,Short term,Less,Dislike Heat,Anger,Constant,Irregular Chewing,Skips Meal,Less than Normal,Heavy,"Forgiving,Grateful",Low,Fast,Fire,Extrovert,Mild,Pitta
Thin and Lean,Dry,Brown,"Soft,Sweating",Dark,Underweight,Redish,"Large,White",Fast,Aggressive,Short term,Less,Dislike Cold,Anger,Changes Slowly,Proper Chewing,Irregular,Less than Normal,Heavy,"Forgiving,Grateful",Low,Rough,Sky,Extrovert,Mild,Vata
Medium,Greasy,Grey,"Dry,Rough",Dark,Normal,Pinkish,"Large,White",Fast,Stable,Good Memory,Moderate,Dislike Heat,Anxiety,Constant,Irregular Chewing,Irregular,Normal,Healthy,"Forgiving,Grateful",Medium,Fast,Water,Ambivert,Strong,Pitta
Thin and Lean,Greasy,Black,"Dry,Rough",Dark,Underweight,Redish,"Medium,Yellowish",Fast,Stable,Long Term,Less,Dislike Cold,Anxiety,Constant,Irregular Chewing,Irregular,Less than Normal,Weak,"Forgiving,Grateful",High,Deep,Water,Introvert,Strong,Kapha
Medium,Greasy,Brown,"Soft,Sweating",Glowing,Normal,Pinkish,"Irregular,Blackish",Fast,Restless,Short term,Less,Dislike Cold,Calm,Changes Slowly,Improper Chewing,Irregular,More than Normal,Healthy,"Jealous,Fearful",Medium,Fast,Sky,Ambivert,Mild,Pitta
Medium,Greasy,Brown,"Moist,Greasy",Dark,Overweight,Redish,"Medium,Yellowish",Slow,Aggressive,Short term,Moderate,Dislike Moist,Calm,Constant,Proper Chewing,Skips Meal,More than Normal,Heavy,"Forgiving,Grateful",Low,Rough,Fire,Extrovert,Mild,Kapha
Medium,Greasy,Brown,"Moist,Greasy",Glowing,Underweight,Redish,"Large,White",Slow,Aggressive,Long Term,Moderate,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Sudden and Sharp,More than Normal,Heavy,"Egoistic,Fearless",Medium,Deep,Water,Extrovert,Mild,Kapha
Thin and Lean,Normal,Black,"Moist,Greasy",Pinkish,Normal,Blackish,"Large,White",Fast,Restless,Good Memory,Sleepy,Dislike Cold,Anxiety,Constant,Irregular Chewing,Skips Meal,Less than Normal,Healthy,"Egoistic,Fearless",High,Fast,Sky,Introvert,Negligible,Pitta
Thin and Lean,Normal,Black,"Moist,Greasy",Dark,Underweight,Pinkish,"Large,White",Slow,Aggressive,Good Memory,Less,Dislike Moist,Anger,Changes Slowly,Improper Chewing,Irregular,Normal,Healthy,"Egoistic,Fearless",Low,Rough,Fire,Extrovert,Mild,Vata
Medium,Greasy,Grey,"Moist,Greasy",Dark,Underweight,Blackish,"Large,White",Medium,Restless,Good Memory,Less,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Skips Meal,Less than Normal,Healthy,"Egoistic,Fearless",Medium,Fast,Fire,Extrovert,Strong,Pitta
Medium,Dry,Brown,"Moist,Greasy",Pinkish,Overweight,Blackish,"Large,White",Fast,Aggressive,Long Term,Moderate,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Irregular,Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Fire,Ambivert,Strong,Kapha
Thin and Lean,Dry,Black,"Dry,Rough",Glowing,Normal,Blackish,"Large,White",Medium,Restless,Good Memory,Moderate,Dislike Moist,Anger,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Weak,"Egoistic,Fearless",High,Fast,Sky,Ambivert,Negligible,Pitta
Thin and Lean,Normal,Grey,"Dry,Rough",Dark,Underweight,Redish,"Irregular,Blackish",Fast,Stable,Short term,Moderate,Dislike Cold,Anxiety,Constant,Proper Chewing,Irregular,More than Normal,Weak,"Jealous,Fearful",High,Deep,Sky,Extrovert,Strong,Kapha
Thin and Lean,Greasy,Brown,"Dry,Rough",Pinkish,Underweight,Blackish,"Medium,Yellowish",Slow,Restless,Good Memory,Sleepy,Dislike Moist,Anxiety,Constant,Proper Chewing,Irregular,More than Normal,Heavy,"Jealous,Fearful",High,Deep,Water,Ambivert,Negligible,Kapha
Well Built,Dry,Brown,"Moist,Greasy",Glowing,Underweight,Redish,"Medium,Yellowish",Slow,Aggressive,Short term,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Sudden and Sharp,More than Normal,Healthy,"Egoistic,Fearless",Low,Deep,Water,Introvert,Negligible,Kapha
Medium,Normal,Black,"Soft,Sweating",Dark,Underweight,Blackish,"Medium,Yellowish",Slow,Restless,Short term,Less,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Sudden and Sharp,More than Normal,Heavy,"Jealous,Fearful",Low,Deep,Water,Introvert,Negligible,Kapha
Thin and Lean,Dry,Brown,"Moist,Greasy",Dark,Normal,Blackish,"Large,White",Slow,Stable,Long Term,Moderate,Dislike Moist,Calm,Changes Slowly,Irregular Chewing,Irregular,Normal,Heavy,"Egoistic,Fearless",High,Rough,Fire,Extrovert,Mild,Kapha
Thin and Lean,Dry,Grey,"Moist,Greasy",Pinkish,Underweight,Redish,"Irregular,Blackish",Slow,Aggressive,Long Term,Moderate,Dislike Moist,Anger,Changes Quickly,Proper Chewing,Sudden and Sharp,Normal,Heavy,"Jealous,Fearful",Low,Fast,Water,Extrovert,Strong,Kapha
Medium,Normal,Brown,"Dry,Rough",Glowing,Normal,Blackish,"Irregular,Blackish",Medium,Stable,Long Term,Moderate,Dislike Heat,Anger,Constant,Irregular Chewing,Skips Meal,Normal,Weak,"Egoistic,Fearless",Medium,Rough,Water,Extrovert,Negligible,Pitta
Well Built,Greasy,Black,"Moist,Greasy",Glowing,Underweight,Redish,"Large,White",Medium,Aggressive,Long Term,Less,Dislike Moist,Calm,Changes Quickly,Irregular Chewing,Irregular,Less than Normal,Heavy,"Jealous,Fearful",Low,Fast,Sky,Extrovert,Negligible,Pitta
Thin and Lean,Dry,Grey,"Dry,Rough",Dark,Overweight,Blackish,"Irregular,Blackish",Slow,Stable,Long Term,Moderate,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Skips Meal,Less than Normal,Weak,"Forgiving,Grateful",High,Rough,Water,Introvert,Negligible,Kapha
Medium,Dry,Grey,"Moist,Greasy",Pinkish,Overweight,Pinkish,"Medium,Yellowish",Medium,Restless,Long Term,Moderate,Dislike Cold,Calm,Constant,Irregular Chewing,Irregular,Normal,Heavy,"Egoistic,Fearless",High,Deep,Fire,Extrovert,Mild,Kapha
Thin and Lean,Greasy,Brown,"Moist,Greasy",Pinkish,Normal,Redish,"Medium,Yellowish",Slow,Stable,Short term,Sleepy,Dislike Moist,Calm,Constant,Improper Chewing,Skips Meal,Less than Normal,Weak,"Egoistic,Fearless",Low,Deep,Fire,Extrovert,Mild,Kapha
Thin and Lean,Greasy,Grey,"Soft,Sweating",Glowing,Underweight,Blackish,"Irregular,Blackish",Slow,Aggressive,Good Memory,Moderate,Dislike Heat,Anger,Constant,Improper Chewing,Skips Meal,Less than Normal,Weak,"Forgiving,Grateful",Low,Fast,Fire,Ambivert,Negligible,Kapha
Medium,Greasy,Grey,"Moist,Greasy",Glowing,Overweight,Pinkish,"Irregular,Blackish",Slow,Restless,Long Term,Less,Dislike Heat,Calm,Constant,Proper Chewing,Irregular,More than Normal,Weak,"Jealous,Fearful",High,Fast,Water,Extrovert,Strong,Kapha
Well Built,Normal,Black,"Moist,Greasy",Pinkish,Normal,Redish,"Large,White",Slow,Stable,Good Memory,Sleepy,Dislike Cold,Anger,Constant,Proper Chewing,Irregular,Less than Normal,Healthy,"Egoistic,Fearless",Medium,Deep,Fire,Ambivert,Strong,Kapha
Thin and Lean,Greasy,Black,"Dry,Rough",Pinkish,Overweight,Redish,"Large,White",Medium,Stable,Long Term,Less,Dislike Cold,Anxiety,Changes Slowly,Proper Chewing,Skips Meal,Normal,Weak,"Egoistic,Fearless",High,Rough,Fire,Ambivert,Strong,Kapha
Thin and Lean,Greasy,Grey,"Dry,Rough",Dark,Normal,Redish,"Irregular,Blackish",Medium,Stable,Short term,Less,Dislike Moist,Anger,Changes Slowly,Proper Chewing,Irregular,Normal,Heavy,"Egoistic,Fearless",High,Rough,Fire,Introvert,Negligible,Kapha
Medium,Dry,Grey,"Moist,Greasy",Pinkish,Normal,Pinkish,"Large,White",Medium,Restless,Good Memory,Sleepy,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Jealous,Fearful",Low,Deep,Sky,Extrovert,Negligible,Pitta
